,year,activity,sex,age,cat_age,century
1334,2009.0,"Swimming, attempting to rescue a girl  believed to be drowning",M,15,Teenager,XXI
1335,2009.0,Swimming,M,,No category,XXI
1336,2009.0,Fishing,M,,No category,XXI
1337,2009.0,Surfing,M,,No category,XXI
1338,2009.0,Surfing,M,25,Young Adult,XXI
1339,2009.0,Swimming,F,22,Young Adult,XXI
1340,2009.0,Body boarding,M,,No category,XXI
1341,2009.0,Swimming,M,26,Young Adult,XXI
1342,2009.0,Surfing,M,,No category,XXI
1343,2009.0,Wade Fishing,M,56,Adult,XXI
1344,2009.0,Spearfishing,M,14,Teenager,XXI
1345,2009.0,Surfing,M,14,Teenager,XXI
1346,2009.0,Swimming,F,41,Adult,XXI
1347,2009.0,Washing his feet,M,,No category,XXI
1348,2009.0,Wading,F,14,Teenager,XXI
1349,2009.0,Swimming,F,11,Child,XXI
1350,2009.0,Swimming,F,26,Young Adult,XXI
1351,2009.0,Swimming,F,19,Young Adult,XXI
1352,2009.0,Swimming,M,57,Adult,XXI
1353,2009.0,Spearfishing,M,,No category,XXI
1354,2009.0,Paddle-surfing,M,,No category,XXI
1355,2009.0,Surfing,M,37,Adult,XXI
1356,2009.0,Boogie Boarding,F,12,Teenager,XXI
1357,2009.0,Swimming,F,43,Adult,XXI
1358,2009.0,Surfing,M,52,Adult,XXI
1359,2009.0,Surfing,M,26,Young Adult,XXI
1360,2009.0,Crawling,M,14,Teenager,XXI
1361,2009.0,Fishing for sharks,M,,No category,XXI
1362,2009.0,Scuba diving,M,,No category,XXI
1363,2009.0,Scuba diving,M,,No category,XXI
1364,2009.0,Snorkeling,F,50,Adult,XXI
1365,2009.0,Fishing,M,46,Adult,XXI
1366,2009.0,Swimming,M,,No category,XXI
1367,2009.0,Surfing,M,31,Young Adult,XXI
1368,2009.0,Surfing,M,49,Adult,XXI
1369,2009.0,Surfing,M,55,Adult,XXI
1370,2009.0,Spearfishing,M,27,Young Adult,XXI
1371,2009.0,Spearfishing,M,48,Adult,XXI
1372,2009.0,,F,,No category,XXI
1373,2009.0,Surfing,M,,No category,XXI
1374,2009.0,Surfing,M,20,Young Adult,XXI
1375,2009.0,Swimming,M,23,Young Adult,XXI
1376,2009.0,Surfing,M,52,Adult,XXI
1377,2009.0,Surfing,M,31,Young Adult,XXI
1378,2009.0,Spearfishing,M,49,Adult,XXI
1379,2009.0,Surf skiing,M,40,Adult,XXI
1380,2009.0,Swimming,M,24,Young Adult,XXI
1381,2009.0,Spearfishing,M,,No category,XXI
1382,2009.0,Wading,M,15,Teenager,XXI
1383,2009.0,Fishing,M,59,Adult,XXI
1384,2009.0,Surfing,M,16,Teenager,XXI
1385,2009.0,Surfing,M,17,Teenager,XXI
1386,2009.0,Surfing,M,,No category,XXI
1387,2009.0,Surfing,F,,No category,XXI
1388,2009.0,Surfing,F,17,Teenager,XXI
1389,2009.0,Feeding fish,F,,No category,XXI
1390,2009.0,Swimming,M,61,Adult,XXI
1391,2009.0,Wading,M,21,Young Adult,XXI
1392,2009.0,Surfing,M,19,Young Adult,XXI
1393,2009.0,Fishing,M,40,Adult,XXI
1394,2009.0,Fishing,M,,No category,XXI
1395,2009.0,Surfing,M,15,Teenager,XXI
1396,2009.0,Fishing,M,,No category,XXI
1397,2009.0,Surfing,M,,No category,XXI
1398,2009.0,Surfing,M,33,Young Adult,XXI
1399,2009.0,"Diving, but on the surface when bitten by the shark",M,31,Young Adult,XXI
1400,2009.0,Air Disaster,M,,No category,XXI
1401,2009.0,Surfing,M,41,Adult,XXI
1402,2009.0,Surfing,M,,No category,XXI
1403,2009.0,Fishing,M,49,Adult,XXI
1404,2009.0,,M,17,Teenager,XXI
1405,2009.0,Spearfishing,M,15,Teenager,XXI
1406,2009.0,Fishing,,,No category,XXI
1407,2009.0,Swimming,M,19,Young Adult,XXI
1408,2009.0,Swimming,M,25,Young Adult,XXI
1409,2009.0,Swimming,M,17,Teenager,XXI
1410,2009.0,Fishing,M,,No category,XXI
1411,2009.0,Surfing,M,,No category,XXI
1412,2009.0,,,,No category,XXI
1413,2009.0,Snorkeling,M,24,Young Adult,XXI
1414,2009.0,Surfing,F,13,Teenager,XXI
1415,2009.0,Surfing,M,31,Young Adult,XXI
1416,2009.0,Fishing,,,No category,XXI
1417,2009.0,Surfing,M,22,Young Adult,XXI
1418,2009.0,Swimming,M,49,Adult,XXI
1419,2009.0,Spearfishing,,,No category,XXI
1420,2008.0,Crabbing,,,No category,XXI
1421,2008.0,Yacht race,,,No category,XXI
1422,2008.0,Boogie Boarding,M,10,Child,XXI
1423,2008.0,Kayaking,M,29,Young Adult,XXI
1424,2008.0,Snorkeling,M,51,Adult,XXI
1425,2008.0,Kayaking,M,,No category,XXI
1426,2008.0,Fishing,M,,No category,XXI
1427,2008.0,Fishing,M,15,Teenager,XXI
1428,2008.0,Fishing,,,No category,XXI
1429,2008.0,Spearfishing,M,,No category,XXI
1430,2008.0,Scuba diving,F,,No category,XXI
1431,2008.0,Sinking of the cargo ship Mark Jason,M,,No category,XXI
1432,2008.0,,F,,No category,XXI
1433,2008.0,Fishing,M,,No category,XXI
1434,2008.0,Fishing boat swamped in storm,M,45,Adult,XXI
1435,2008.0,Fishing,M,39,Adult,XXI
1436,2008.0,Scuba diving,M,34,Young Adult,XXI
1437,2008.0,Spearfishing,M,24,Young Adult,XXI
1438,2008.0,Fishing,M,50,Adult,XXI
1439,2008.0,Surfing,M,15,Teenager,XXI
1440,2008.0,Fishing,M,11,Child,XXI
1441,2008.0,Spearfishing,M,43,Adult,XXI
1442,2008.0,Surfing,M,44,Adult,XXI
1443,2008.0,Surfing,M,40,Adult,XXI
1444,2008.0,Swimming,M,43,Adult,XXI
1445,2008.0,Swimming,M,32,Young Adult,XXI
1446,2008.0,Surfing,M,40,Adult,XXI
1447,2008.0,Surfing,M,,No category,XXI
1448,2008.0,Surfing,M,51,Adult,XXI
1449,2008.0,Surfing,M,43,Adult,XXI
1450,2008.0,Surfing,M,15,Teenager,XXI
1451,2008.0,Surfing,M,52,Adult,XXI
1452,2008.0,Surfing,M,,No category,XXI
1453,2008.0,Surfing,M,29,Young Adult,XXI
1454,2008.0,Swimming,M,27,Young Adult,XXI
1455,2008.0,Fishing,M,52,Adult,XXI
1456,2008.0,Surfing,M,19,Young Adult,XXI
1457,2008.0,Surfing,M,26,Young Adult,XXI
1458,2008.0,"Swimming, towing surfboard",M,20,Young Adult,XXI
1459,2008.0,Surfing,F,20,Young Adult,XXI
1460,2008.0,Swimming,M,47,Adult,XXI
1461,2008.0,,M,7,Child,XXI
1462,2008.0,Treading water,F,38,Adult,XXI
1463,2008.0,Wading,F,13,Teenager,XXI
1464,2008.0,Diving,M,,No category,XXI
1465,2008.0,Surfing,M,31,Young Adult,XXI
1466,2008.0,,M,,No category,XXI
1467,2008.0,Swimming or surfing,M,,No category,XXI
1468,2008.0,Swimming,M,33,Young Adult,XXI
1469,2008.0,Swimming,M,,No category,XXI
1470,2008.0,Surfing,M,17,Teenager,XXI
1471,2008.0,Snorkeling,F,44,Adult,XXI
1472,2008.0,Wading,M,9,Child,XXI
1473,2008.0,Wading,F,8,Child,XXI
1474,2008.0,Surfing,M,15,Teenager,XXI
1475,2008.0,Wading,M,16,Teenager,XXI
1476,2008.0,Diving,M,,No category,XXI
1477,2008.0,Body surfing,M,52,Adult,XXI
1478,2008.0,Surfing,M,24,Young Adult,XXI
1479,2008.0,Swimming,F,14,Teenager,XXI
1480,2008.0,,F,17,Teenager,XXI
1481,2008.0,Rowing an inflatable dinghy,M,16,Teenager,XXI
1482,2008.0,Wading,M,53,Adult,XXI
1483,2008.0,Spearfishing,M,42,Adult,XXI
1484,2008.0,Surf skiing,M,46,Adult,XXI
1485,2008.0,Spearfishing (free diving),M,,No category,XXI
1486,2008.0,Surfing,M,29,Young Adult,XXI
1487,2008.0,Swimming,M,37,Adult,XXI
1488,2008.0,Surfing,M,,No category,XXI
1489,2008.0,Kayaking,F,40,Adult,XXI
1490,2008.0,Wading,F,35,Young Adult,XXI
1491,2008.0,Surfing,M,14,Teenager,XXI
1492,2008.0,Body surfing,M,40,Adult,XXI
1493,2008.0,Fishing,,,No category,XXI
1494,2008.0,Body surfing,F,15,Teenager,XXI
1495,2008.0,Swimming,M,14,Teenager,XXI
1496,2008.0,Surfing,M,9,Child,XXI
1497,2008.0,Sea Disaster,M,,No category,XXI
1498,2008.0,Surfing,M,49,Adult,XXI
1499,2008.0,Surfing,M,21,Young Adult,XXI
1500,2008.0,Night diving,M,28,Young Adult,XXI
1501,2008.0,Swimming,M,37,Adult,XXI
1502,2008.0,Fishing,M,40,Adult,XXI
1503,2008.0,Wading,M,6,Child,XXI
1504,2008.0,Fishing,M,24,Young Adult,XXI
1505,2008.0,Surfing,M,24,Young Adult,XXI
1506,2008.0,Surfing,M,18,Young Adult,XXI
1507,2008.0,Surfing,M,24,Young Adult,XXI
1508,2008.0,Swimming,M,32,Young Adult,XXI
1509,2008.0,Surfing,M,21,Young Adult,XXI
1510,2008.0,Swimming,M,66,Elder,XXI
1511,2008.0,Surfing,M,14,Teenager,XXI
1512,2008.0,,M,,No category,XXI
1513,2008.0,Free-diving,M,,No category,XXI
1514,2008.0,Swimming,M,32,Young Adult,XXI
1515,2008.0,Surfing,M,19,Young Adult,XXI
1516,2008.0,Surfing,M,30,Young Adult,XXI
1517,2008.0,Spearfishing,M,,No category,XXI
1518,2008.0,Wading,M,15,Teenager,XXI
1519,2008.0,Surfing,,,No category,XXI
1520,2008.0,Body boarding,M,16,Teenager,XXI
1521,2008.0,Walking out of the water after surfing,M,18,Young Adult,XXI
1522,2008.0,Fishing from surfski,M,39,Adult,XXI
1523,2008.0,Surfing,M,52,Adult,XXI
1524,2008.0,Boogie Boarding,M,,No category,XXI
1525,2008.0,Walking out of the water after surfing,M,13,Teenager,XXI
1526,2008.0,Wading,M,14,Teenager,XXI
1527,2008.0,Jet skiing,M,8,Child,XXI
1528,2008.0,Surfing,M,27,Young Adult,XXI
1529,2008.0,Diving,M,49,Adult,XXI
1530,2008.0,Spearfishing,M,26,Young Adult,XXI
1531,2008.0,Surfing,M,25,Young Adult,XXI
1532,2008.0,Surfing,F,14,Teenager,XXI
1533,2008.0,Surf-skiing,M,,No category,XXI
1534,2008.0,Diving,M,,No category,XXI
1535,2008.0,Surf-skiing,M,42,Adult,XXI
1536,2008.0,Accidentally stood on hooked shark's tail before attempting to gut it,M,20,Young Adult,XXI
1537,2008.0,Wading,M,,No category,XXI
1538,2008.0,Attempting to chase shark out to sea,,,No category,XXI
1539,2008.0,Surfing,M,20,Young Adult,XXI
1540,2008.0,Fishing for snapper,M,,No category,XXI
1541,2008.0,Surfing,M,26,Young Adult,XXI
1542,2007.0,Surfing,M,24,Young Adult,XXI
1543,2007.0,Scuba diving,M,53,Adult,XXI
1544,2007.0,Surfing,M,31,Young Adult,XXI
1545,2007.0,Swimming,M,teen,Teenager,XXI
1546,2007.0,Swimming,M,34,Young Adult,XXI
1547,2007.0,Surfing,M,52,Adult,XXI
1548,2007.0,Surfing,F,,No category,XXI
1549,2007.0,Removing fish from a trap,M,28,Young Adult,XXI
1550,2007.0,Fishing,M,32,Young Adult,XXI
1551,2007.0,Surfing,M,,No category,XXI
1552,2007.0,Surfing,M,14,Teenager,XXI
1553,2007.0,Surfing,M,21,Young Adult,XXI
1554,2007.0,Surfing,M,42,Adult,XXI
1555,2007.0,Surfing,M,37,Adult,XXI
1556,2007.0,Shark diving,M,,No category,XXI
1557,2007.0,Floating,M,32,Young Adult,XXI
1558,2007.0,Surf-skiing,F,52,Adult,XXI
1559,2007.0,Spearfishing,M,31,Young Adult,XXI
1560,2007.0,Surfing,M,22,Young Adult,XXI
1561,2007.0,Surfing,M,16,Teenager,XXI
1562,2007.0,Surfing,M,,No category,XXI
1563,2007.0,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas",M,,No category,XXI
1564,2007.0,Swimming,F,23,Young Adult,XXI
1565,2007.0,Spearfishing,F,48,Adult,XXI
1566,2007.0,Surfing,F,,No category,XXI
1567,2007.0,Swimming,F,18 or 20,Young Adult,XXI
1568,2007.0,Scuba diving,F,,No category,XXI
1569,2007.0,Surfing,F,,No category,XXI
1570,2007.0,Surfing,M,23,Young Adult,XXI
1571,2007.0,Spearfishing,M,,No category,XXI
1572,2007.0,Wading?,M,56,Adult,XXI
1573,2007.0,Surfing,F,Teen,Teenager,XXI
1574,2007.0,Snorkeling,M,14,Teenager,XXI
1575,2007.0,Wading,F,58,Adult,XXI
1576,2007.0,Wading,F,36,Adult,XXI
1577,2007.0,Standing,M,15,Teenager,XXI
1578,2007.0,Jumping,F,12,Teenager,XXI
1579,2007.0,Swimming,M,58,Adult,XXI
1580,2007.0,Body boarding,M,15,Teenager,XXI
1581,2007.0,Surfing,M,24,Young Adult,XXI
1582,2007.0,Surfing,M,54,Adult,XXI
1583,2007.0,Surfing,M,27,Young Adult,XXI
1584,2007.0,Diving,M,,No category,XXI
1585,2007.0,Fishing,M,,No category,XXI
1586,2007.0,Swimming,M,52,Adult,XXI
1587,2007.0,Surfing,M,16,Teenager,XXI
1588,2007.0,Playing,M,7,Child,XXI
1589,2007.0,Floating near boat & observing bioluminesce,M,20,Young Adult,XXI
1590,2007.0,Swimming,F,15,Teenager,XXI
1591,2007.0,Walking out of the water after surfing,M,19,Young Adult,XXI
1592,2007.0,Swimming,M,30,Young Adult,XXI
1593,2007.0,Boogie Boarding,M,9,Child,XXI
1594,2007.0,Jumped into the water,F,19,Young Adult,XXI
1595,2007.0,Surfing,M,51,Adult,XXI
1596,2007.0,Surfing,M,20,Young Adult,XXI
1597,2007.0,Surf paddling,M,,No category,XXI
1598,2007.0,Kayak Fishing,M,,No category,XXI
1599,2007.0,Snorkeling,M,36,Adult,XXI
1600,2007.0,Wading,M,15,Teenager,XXI
1601,2007.0,Swimming,M,14,Teenager,XXI
1602,2007.0,Scuba diving,M,48,Adult,XXI
1603,2007.0,Swimming,F,43,Adult,XXI
1604,2007.0,Wading,F,30,Young Adult,XXI
1605,2007.0,Spearfishing,F,48,Adult,XXI
1606,2007.0,Surfing,M,18,Young Adult,XXI
1607,2007.0,Body boarding,M,17,Teenager,XXI
1608,2007.0,Murder,,,No category,XXI
1609,2007.0,Removing hook from shark,M,,No category,XXI
1610,2007.0,Swimming,F,,No category,XXI
1611,2007.0,Surfing,M,20,Young Adult,XXI
1612,2007.0,Surfing,M,,No category,XXI
1613,2007.0,Surfing,F,9,Child,XXI
1614,2007.0,Swimming,F,,No category,XXI
1615,2007.0,Surfing,M,,No category,XXI
1616,2007.0,Wading,F,,No category,XXI
1617,2007.0,Reviving a sedated shark,F,40,Adult,XXI
1618,2007.0,Fishing,M,38,Adult,XXI
1619,2007.0,Wading,F,38,Adult,XXI
1620,2007.0,Surfing,M,19,Young Adult,XXI
1621,2007.0,Surfing,F,21,Young Adult,XXI
1622,2007.0,Snorkeling,M,,No category,XXI
1623,2007.0,Swimming,M,45,Adult,XXI
1624,2007.0,Snorkeling,F,63,Adult,XXI
1625,2007.0,Swimming,M,68,Elder,XXI
1626,2007.0,Sea Disaster,,,No category,XXI
1627,2007.0,Shark tagging,F,20,Young Adult,XXI
1628,2007.0,Swimming / jumping off a jetty,F,13,Teenager,XXI
1629,2007.0,Body boarding,M,12,Teenager,XXI
1630,2007.0,Surfing,M,24,Young Adult,XXI
1631,2007.0,Fishing,,,No category,XXI
1632,2007.0,Surfing,M,26,Young Adult,XXI
1633,2007.0,Playing on a sandbar,M,7,Child,XXI
1634,2007.0,Surfing,M,27,Young Adult,XXI
1635,2007.0,,M,9,Child,XXI
1636,2007.0,Murder,,,No category,XXI
1637,2007.0,Surfing,M,11,Child,XXI
1638,2007.0,Surfing,F,42,Adult,XXI
1639,2007.0,Shark fishing,M,,No category,XXI
1640,2007.0,Swimming,F,59,Adult,XXI
1641,2007.0,Surfing,M,29,Young Adult,XXI
1642,2007.0,Spearfishing,M,16,Teenager,XXI
1643,2007.0,Swimming,M,36,Adult,XXI
1644,2007.0,Boogie Boarding,M,26,Young Adult,XXI
1645,2007.0,Spearfishing,M,,No category,XXI
1646,2007.0,Spearfishing (free diving),M,30,Young Adult,XXI
1647,2007.0,Shrimping,,,No category,XXI
1648,2007.0,Diving,M,41,Adult,XXI
1649,2007.0,Swimming,M,20,Young Adult,XXI
1650,2007.0,Swimming / Body Surfing,M,24,Young Adult,XXI
1651,2007.0,Surfing,M,,No category,XXI
1652,2007.0,Surfing,M,54,Adult,XXI
1653,2007.0,Surfing,M,24,Young Adult,XXI
1654,2007.0,Scuba Diving,M,,No category,XXI
1655,2006.0,Surfing,M,25,Young Adult,XXI
1656,2006.0,Surfing,M,10,Child,XXI
1657,2006.0,Surfing,M,43,Adult,XXI
1658,2006.0,Fishing,M,25,Young Adult,XXI
1659,2006.0,Body boarding,M,15,Teenager,XXI
1660,2006.0,Sea Disaster,,,No category,XXI
1661,2006.0,Swimming,M,29,Young Adult,XXI
1662,2006.0,Canoeing,M,,No category,XXI
1663,2006.0,Surfing,M,22,Young Adult,XXI
1664,2006.0,Fishing,M,15,Teenager,XXI
1665,2006.0,Surfing,M,20,Young Adult,XXI
1666,2006.0,Surfing,M,,No category,XXI
1667,2006.0,Playing soccer in the water,M,18,Young Adult,XXI
1668,2006.0,Free diving / modeling,F,26,Young Adult,XXI
1669,2006.0,Murder,,,No category,XXI
1670,2006.0,Spearfishing,M,36,Adult,XXI
1671,2006.0,Surfing,M,19,Young Adult,XXI
1672,2006.0,Diving / Kissing the shark,M,,No category,XXI
1673,2006.0,Surfing,M,16,Teenager,XXI
1674,2006.0,Swimming,M,55,Adult,XXI
1675,2006.0,Surfing,M,52,Adult,XXI
1676,2006.0,Diving,M,44,Adult,XXI
1677,2006.0,,M,20,Young Adult,XXI
1678,2006.0,Standing,M,33,Young Adult,XXI
1679,2006.0,Swimming,M,12 or 13,Teenager,XXI
1680,2006.0,Surfing,M,37,Adult,XXI
1681,2006.0,Surfing,M,23,Young Adult,XXI
1682,2006.0,Surfing,M,,No category,XXI
1683,2006.0,Body boarding,M,27,Young Adult,XXI
1684,2006.0,,M,17,Teenager,XXI
1685,2006.0,Spearfishing,M,34,Young Adult,XXI
1686,2006.0,Sea Disaster,M,,No category,XXI
1687,2006.0,Surfing,M,34,Young Adult,XXI
1688,2006.0,Surfing,M,,No category,XXI
1689,2006.0,Lifesaving drill,M,24,Young Adult,XXI
1690,2006.0,Wading,F,59,Adult,XXI
1691,2006.0,Spearfishing,M,,No category,XXI
1692,2006.0,Touching sharks,,,No category,XXI
1693,2006.0,Surfing,M,41,Adult,XXI
1694,2006.0,Boogie Boarding,M,,No category,XXI
1695,2006.0,Surfing,M,15,Teenager,XXI
1696,2006.0,Surf-skiing,M,19,Young Adult,XXI
1697,2006.0,Surfing,M,14,Teenager,XXI
1698,2006.0,Surf fishing,M,,No category,XXI
1699,2006.0,,,,No category,XXI
1700,2006.0,Standing,M,49,Adult,XXI
1701,2006.0,Swimming,F,7,Child,XXI
1702,2006.0,Swimming,F,21,Young Adult,XXI
1703,2006.0,,M,,No category,XXI
1704,2006.0,Wading,M,40,Adult,XXI
1705,2006.0,Walking,M,11,Child,XXI
1706,2006.0,Body boarding,F,14,Teenager,XXI
1707,2006.0,Swimming,M,13,Teenager,XXI
1708,2006.0,Spearfishing,F,28,Young Adult,XXI
1709,2006.0,Spearfishing,M,35,Young Adult,XXI
1710,2006.0,Body boarding,F,9,Child,XXI
1711,2006.0,Fishing,M,,No category,XXI
1712,2006.0,Spearfishing,M,25,Young Adult,XXI
1713,2006.0,Surfing,F,22,Young Adult,XXI
1714,2006.0,Body boarding,M,27,Young Adult,XXI
1715,2006.0,Scuba diving,M,43,Adult,XXI
1716,2006.0,Surfing,M,24,Young Adult,XXI
1717,2006.0,Playing,F,7,Child,XXI
1718,2006.0,Surfing,M,40,Adult,XXI
1719,2006.0,Spearfishing,M,26,Young Adult,XXI
1720,2006.0,Tagging sharks,,,No category,XXI
1721,2006.0,Surfing,M,31,Young Adult,XXI
1722,2006.0,Spearfishing,M,15,Teenager,XXI
1723,2006.0,Surfing,M,33,Young Adult,XXI
1725,2006.0,,M,,No category,XXI
1726,2006.0,Swimming,F,20s,Young Adult,XXI
1727,2006.0,Snorkeling,M,46,Adult,XXI
1728,2006.0,,M,,No category,XXI
1729,2006.0,Surfing,M,54,Adult,XXI
1730,2006.0,Standing,F,13,Teenager,XXI
1731,2006.0,Fishing,M,35,Young Adult,XXI
1732,2006.0,Surfing,M,15,Teenager,XXI
1733,2006.0,Body boarding,M,15,Teenager,XXI
1734,2006.0,Swimming,M,35,Young Adult,XXI
1735,2006.0,Wading,M,11,Child,XXI
1736,2006.0,Fishing,M,,No category,XXI
1737,2006.0,Surfing,F,28,Young Adult,XXI
1738,2006.0,Swimming,M,17,Teenager,XXI
1739,2006.0,Surfing,M,21,Young Adult,XXI
1740,2006.0,Surfing,M,15,Teenager,XXI
1741,2006.0,Standing,F,15,Teenager,XXI
1742,2006.0,Free diving,M,45,Adult,XXI
1743,2006.0,Wading,M,18,Young Adult,XXI
1744,2006.0,Swimming,M,,No category,XXI
1745,2006.0,Fishing,M,,No category,XXI
1746,2006.0,Surfing,M,15,Teenager,XXI
1747,2006.0,Swimming,F,24,Young Adult,XXI
1748,2006.0,Kayaking,M,57,Adult,XXI
1750,2006.0,Spearfishing,M,34,Young Adult,XXI
1752,2006.0,Night Surfing,M,,No category,XXI
1753,2006.0,Scuba diving,M,52,Adult,XXI
1754,2006.0,Diving for lobsters,M,,No category,XXI
1755,2006.0,Swimming,F,21,Young Adult,XXI
1756,2006.0,Surfing,M,21,Young Adult,XXI
1757,2006.0,Diving for crayfish,M,49,Adult,XXI
1758,2005.0,Surfing,M,30,Young Adult,XXI
1759,2005.0,Swimming,M,29,Young Adult,XXI
1760,2005.0,Competing in the Woodvale Atlantic Rowing Race,,,No category,XXI
1761,2005.0,Spearfishing,M,44,Adult,XXI
1762,2005.0,Fishing,,,No category,XXI
1763,2005.0,Surfing,M,teen,Teenager,XXI
1764,2005.0,Surfing,M,23,Young Adult,XXI
1765,2005.0,Fishing,,,No category,XXI
1766,2005.0,Surfing,M,18,Young Adult,XXI
1767,2005.0,Surfing,M,26,Young Adult,XXI
1768,2005.0,Spearfishing,,,No category,XXI
1770,2005.0,Surfing,M,17,Teenager,XXI
1771,2005.0,,,,No category,XXI
1772,2005.0,Fishing for sharks,M,32,Young Adult,XXI
1773,2005.0,Surfing,M,18,Young Adult,XXI
1774,2005.0,Surfing,M,25,Young Adult,XXI
1775,2005.0,Surfing,M,26,Young Adult,XXI
1776,2005.0,Wading,M,15,Teenager,XXI
1777,2005.0,Standing,M,55,Adult,XXI
1778,2005.0,Standing / Surfing,M,20,Young Adult,XXI
1779,2005.0,Surfing,M,36,Adult,XXI
1780,2005.0,Surfing,F,20,Young Adult,XXI
1781,2005.0,Wading,M,15,Teenager,XXI
1782,2005.0,Surfing,M,22,Young Adult,XXI
1783,2005.0,Scuba diving,F,57,Adult,XXI
1784,2005.0,Treading water/ Surfing,M,48,Adult,XXI
1785,2005.0,Diving,M,35,Young Adult,XXI
1786,2005.0,Surf-skiing,M,52,Adult,XXI
1787,2005.0,Surfing,M,28,Young Adult,XXI
1788,2005.0,Surfing,M,26,Young Adult,XXI
1789,2005.0,Surfing,M,44,Adult,XXI
1790,2005.0,Surfing,M,,No category,XXI
1791,2005.0,Body surfing,F,68,Elder,XXI
1792,2005.0,Surfing,M,18,Young Adult,XXI
1793,2005.0,Standing,M,15,Teenager,XXI
1794,2005.0,Wading,F,18,Young Adult,XXI
1795,2005.0,Surfing,M,40,Adult,XXI
1796,2005.0,Standing / Surfing,M,62,Adult,XXI
1797,2005.0,Removing shark from net,M,21,Young Adult,XXI
1798,2005.0,Scuba diving,M,23,Young Adult,XXI
1799,2005.0,Surfing,M,37,Adult,XXI
1800,2005.0,"Boogie boarding, kicked at object in the water",M,17,Teenager,XXI
1801,2005.0,Swimming,M,8,Child,XXI
1802,2005.0,Walking,M,12,Teenager,XXI
1803,2005.0,,,,No category,XXI
1804,2005.0,Surfing,M,16,Teenager,XXI
1805,2005.0,Swimming,M,14,Teenager,XXI
1806,2005.0,Fishing,M,,No category,XXI
1807,2005.0,Wading,F,13,Teenager,XXI
1808,2005.0,Surfing,M,61,Adult,XXI
1809,2005.0,Surfing,M,25,Young Adult,XXI
1810,2005.0,Swimming,M,,No category,XXI
1811,2005.0,Scuba diving in aquarium tank,M,24,Young Adult,XXI
1812,2005.0,,,,No category,XXI
1813,2005.0,Swimming,M,22,Young Adult,XXI
1814,2005.0,Holding onto an inflatable boat,F,14,Teenager,XXI
1815,2005.0,Standing,M,19,Young Adult,XXI
1816,2005.0,Fishing,M,16,Teenager,XXI
1817,2005.0,Swimming with boogie board,F,14,Teenager,XXI
1818,2005.0,Swimming,F,7,Child,XXI
1819,2005.0,Surfing,M,,No category,XXI
1820,2005.0,Swimming,M,49,Adult,XXI
1821,2005.0,Swimming,M,20,Young Adult,XXI
1822,2005.0,Diving,F,38,Adult,XXI
1823,2005.0,Boogie boarding,F,11,Child,XXI
1824,2005.0,Surfing,M,17,Teenager,XXI
1825,2005.0,Spearfishing (Free diving),M,22,Young Adult,XXI
1826,2005.0,Wading,M,6,Child,XXI
1827,2005.0,Swimming,M,33,Young Adult,XXI
1828,2005.0,Crouching in 2' of water,F,,No category,XXI
1829,2005.0,Surfing,M,32,Young Adult,XXI
1830,2005.0,Spearfishing,M,,No category,XXI
1831,2005.0,Kayaking,,,No category,XXI
1832,2005.0,Fishing,M,,No category,XXI
1833,2005.0,Sea Disaster,M,Teens,Teenager,XXI
1834,2005.0,Surfing,M,47,Adult,XXI
1835,2005.0,Fishing,M,25,Young Adult,XXI
1836,2005.0,,,,No category,XXI
1837,2005.0,Spearfishing,M,20,Young Adult,XXI
1838,2005.0,Surfing,M,40,Adult,XXI
1839,2005.0,Wading,F,70,Elder,XXI
1840,2005.0,Surfing,M,52,Adult,XXI
1841,2005.0,Surfing,M,37,Adult,XXI
1842,2005.0,,F,,No category,XXI
1843,2005.0,SCUBA Diving,F,,No category,XXI
1844,2005.0,Surfing,M,32,Young Adult,XXI
1845,2005.0,Surfing,M,,No category,XXI
1846,2005.0,Surfing,M,,No category,XXI
1847,2005.0,Snorkeling,M,26,Young Adult,XXI
1848,2005.0,Diving in aquarium display tank,M,45,Adult,XXI
1849,2005.0,,M,51,Adult,XXI
1850,2005.0,Fishing,M,,No category,XXI
1851,2005.0,Diving,M,,No category,XXI
1852,2005.0,Swimming,M,18,Young Adult,XXI
1853,2005.0,Spearfishing,M,,No category,XXI
1854,2005.0,Surfing,M,,No category,XXI
1855,2005.0,Spearfishing,M,,No category,XXI
1856,2005.0,Surfing,M,12,Teenager,XXI
1857,2005.0,Swimming,M,19,Young Adult,XXI
1858,2005.0,Spearfishing,M,,No category,XXI
1859,2005.0,Attempting to drive shark away from sailing regatta,,,No category,XXI
1860,2005.0,Fishing from a kayak,M,39,Adult,XXI
1861,2004.0,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,Child,XXI
1862,2004.0,Scurfing (surfboard being  towed behind a boat),M,18,Young Adult,XXI
1863,2004.0,Spearfishing,M,38,Adult,XXI
1864,2004.0,Surfing,M,20,Young Adult,XXI
1865,2004.0,Playing,M,16,Teenager,XXI
1866,2004.0,Swimming,F,77,Elder,XXI
1869,2004.0,Diving,,,No category,XXI
1870,2004.0,Diving,M,40,Adult,XXI
1871,2004.0,,,,No category,XXI
1872,2004.0,Chumming for white sharks,M,52,Adult,XXI
1873,2004.0,Surfing,M,59,Adult,XXI
1874,2004.0,Surfing,M,,No category,XXI
